diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2/fitDiagnostics.FitDiag_Run2_alpha_M25.root, at 2026-09-08 20:01:32.001707 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': None, 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                  +0.04 +4.10 76.86       +1.00   +5907.222
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.68 (+0.00sig, 0.00)!    !+0.01 +/- 0.88 (+0.00sig, 0.00)!       +0.63     +42.085
CMS_NPS26009_NFModel_DY_BJetOS_13TeV         0.000000 +/- 0.000000    !+0.00 +/- 0.77 (+0.00sig, 0.00)!    !+0.00 +/- 0.80 (+0.00sig, 0.00)!       -0.26     -16.146
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.96 (+0.00sig, 0.00)!    !+0.00 +/- 0.98 (+0.00sig, 0.00)!       +0.19     +14.644
CMS_NPS26009_bckgShape_QCD_BJetOS_2018       16.577977 +/- 0.000000    !+16.58 +/- 15.77 (+0.00sig, 0.23)!    !+16.54 +/- 15.94 (-0.00sig, 0.23)!       -0.15    -180.425
CMS_NPS26009_NFStat_DY_BJetOS_2018           0.121918 +/- 0.000000    !+0.12 +/- 0.01 (+0.00sig, 0.22)!    !+0.12 +/- 0.01 (-0.00sig, 0.23)!       -0.15      -0.117
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.14     -10.624
pdf_alphas                                   0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.11      -8.624
CMS_NPS26009_NFStat_DY_BJetOS_2016preVFP     0.140454 +/- 0.000000    !+0.14 +/- 0.02 (+0.00sig, 0.22)!    !+0.14 +/- 0.02 (-0.00sig, 0.22)!       -0.10      -0.119
CMS_NPS26009_pdf_NNPDF31                     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.08      -6.155
