diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M20.root, at 2026-08-26 01:53:15.554707 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2Run3_alpha_M20.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                            [-2.00, 100.00]                              n/a                 +0.54 +11.35 18.36       +1.00    +336.912
CMS_NPS26009_bckgNorm_QCD_BJetOS_2022        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.005
CMS_NPS26009_bckgNorm_QCD_BJetOS_2018        0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.025
CMS_NPS26009_bckgNorm_QCD_BJetOS_2017        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.028
CMS_NPS26009_bckgNorm_QCD_BJetOS_2016preVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.002
CMS_NPS26009_bckgNorm_QCD_BJetOS_2016postVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.00      +0.010
CMS_NPS26009_QCDscale_fac_singleTop          0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.038
CMS_NPS26009_NFStat_DY_BJetOS_2016preVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.91 (-0.00sig, 0.00)!    !+0.00 +/- 0.91 (+0.00sig, 0.00)!       +0.00      +0.038
CMS_NPS26009_MCstat_ttbar_BJetOS_2022        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.045
CMS_NPS26009_MCstat_ttbar_BJetOS_2018        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.053
CMS_NPS26009_MCstat_ttbar_BJetOS_2017        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.049
CMS_NPS26009_MCstat_ttbar_BJetOS_2016preVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.005
CMS_NPS26009_MCstat_ttbar_BJetOS_2016postVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.00      +0.020
CMS_NPS26009_MCstat_singleTop_BJetOS_2022     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.017
CMS_NPS26009_MCstat_singleTop_BJetOS_2018     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.026
CMS_NPS26009_MCstat_singleTop_BJetOS_2017     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.015
CMS_NPS26009_MCstat_singleTop_BJetOS_2016preVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.006
CMS_NPS26009_MCstat_singleTop_BJetOS_2016postVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.004
CMS_NPS26009_MCstat_signal_BJetOS_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.004
CMS_NPS26009_MCstat_signal_BJetOS_2023       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.003
CMS_NPS26009_MCstat_signal_BJetOS_2022EE     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.009
CMS_NPS26009_MCstat_signal_BJetOS_2022       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.000
CMS_NPS26009_MCstat_signal_BJetOS_2018       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.002
CMS_NPS26009_MCstat_signal_BJetOS_2017       0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.001
CMS_NPS26009_MCstat_signal_BJetOS_2016preVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.001
CMS_NPS26009_MCstat_signal_BJetOS_2016postVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.000
CMS_NPS26009_MCstat_other_BJetOS_2023        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.00      -0.050
CMS_NPS26009_MCstat_other_BJetOS_2022        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.011
CMS_NPS26009_MCstat_other_BJetOS_2018        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.015
CMS_NPS26009_MCstat_other_BJetOS_2017        0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.00      -0.013
CMS_NPS26009_MCstat_other_BJetOS_2016preVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.00      +0.001
CMS_NPS26009_MCstat_other_BJetOS_2016postVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.00      +0.037
CMS_NPS26009_LightJetStat_DY_BJetOS_2016preVFP     0.000000 +/- 0.000000    !-0.00 +/- 0.72 (-0.00sig, 0.00)!    !+0.00 +/- 0.72 (+0.00sig, 0.00)!       +0.00      +0.065
