era,mass,file,hist_path,fit_min,fit_max,plot_min,plot_max,original_bin_width,rebin_factor,rebinned_bin_width,fit_status,covariance_status,amplitude,amplitude_error,mean,mean_error,sigma,sigma_error,sigma_over_mass,sigma_over_mass_error,chi2,ndf,chi2_ndf,plot_files
2016preVFP,12.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-12.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,10.8,13.2,9.6,14.4,0.02,3,0.06,0,3,1956037.4336948884,40074.97031931917,11.989156654680475,0.0023887823841377553,0.16596928237096603,0.0019002557022752137,0.013830773530913837,0.0001583546418562678,105.78593632525518,32,3.3058105101642243,plots/sigFit/sigFit_2016preVFP_M-12.pdf;plots/sigFit/sigFit_2016preVFP_M-12.png
2016preVFP,15.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-15.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,13.5,16.5,12.0,18.0,0.02,4,0.08,0,3,1159659.8603736,14175.11465765303,14.986759569559082,0.0019361856599822147,0.21712620358039755,0.0015377858278401019,0.01447508023869317,0.00010251905518934013,227.53836337459487,30,7.584612112486496,plots/sigFit/sigFit_2016preVFP_M-15.pdf;plots/sigFit/sigFit_2016preVFP_M-15.png
2016preVFP,20.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-20.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,18.0,22.0,16.0,24.0,0.02,5,0.1,0,3,439618.26536051376,5693.075532837014,19.976240233709913,0.0027438365471024184,0.29733903766537234,0.00216808395214238,0.014866951883268618,0.000108404197607119,190.93680242259234,33,5.785963709775525,plots/sigFit/sigFit_2016preVFP_M-20.pdf;plots/sigFit/sigFit_2016preVFP_M-20.png
2016preVFP,25.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-25.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,22.5,27.5,20.0,30.0,0.02,6,0.12,0,3,160585.07593959587,2624.2707214492693,24.973678840401856,0.004645127908048607,0.39286717548681005,0.003616435845914312,0.0157146870194724,0.00014465743383657248,80.56900789932521,34,2.3696767029213297,plots/sigFit/sigFit_2016preVFP_M-25.pdf;plots/sigFit/sigFit_2016preVFP_M-25.png
2016preVFP,30.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-30.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,27.0,33.0,24.0,36.0,0.02,6,0.12,0,3,57218.062555978184,1838.3710408419138,29.93117895555833,0.011126663747329957,0.4714015156944725,0.010172527034965656,0.015713383856482417,0.0003390842344988552,51.7291475737012,41,1.261686526187834,plots/sigFit/sigFit_2016preVFP_M-30.pdf;plots/sigFit/sigFit_2016preVFP_M-30.png
2016preVFP,35.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-35.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,31.5,38.5,28.0,42.0,0.02,6,0.12,0,3,21672.72877116134,678.6601482964179,34.9335627123487,0.014701116818422122,0.5965273387678106,0.012759104665535426,0.017043638250508874,0.00036454584758672647,33.94327844775396,50,0.6788655689550792,plots/sigFit/sigFit_2016preVFP_M-35.pdf;plots/sigFit/sigFit_2016preVFP_M-35.png
2016preVFP,40.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-40.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,36.0,44.0,32.0,48.0,0.02,10,0.2,0,3,15412.196184680954,202.16952014182152,39.930342809325744,0.0072574710761657,0.7149400968737982,0.00681384974123711,0.017873502421844954,0.00017034624353092775,71.8626925687038,33,2.1776573505667822,plots/sigFit/sigFit_2016preVFP_M-40.pdf;plots/sigFit/sigFit_2016preVFP_M-40.png
2016preVFP,45.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-45.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,40.5,49.5,36.0,54.0,0.02,10,0.2,0,3,7238.213067128334,119.06487221806901,44.918209736437326,0.01097292155714058,0.8436468754604287,0.010131875287866299,0.01874770834356508,0.00022515278417480663,31.356433294543542,38,0.82516929722483,plots/sigFit/sigFit_2016preVFP_M-45.pdf;plots/sigFit/sigFit_2016preVFP_M-45.png
2016preVFP,50.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-50.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,45.0,55.0,40.0,60.0,0.02,12,0.24,0,3,4477.757541137862,112.73224100163816,49.879438663795746,0.018512127083603502,0.9369125949752374,0.017146147814793455,0.018738251899504746,0.0003429229562958691,32.431670741299435,34,0.953872668861748,plots/sigFit/sigFit_2016preVFP_M-50.pdf;plots/sigFit/sigFit_2016preVFP_M-50.png
2016preVFP,55.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-55.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,49.5,60.5,44.0,66.0,0.02,12,0.24,0,3,2260.148780224023,58.085685792983895,54.90637543692294,0.02393367295577775,1.1338390849289646,0.025568858043900744,0.020615256089617538,0.00046488832807092264,36.79844641828944,38,0.9683801689023536,plots/sigFit/sigFit_2016preVFP_M-55.pdf;plots/sigFit/sigFit_2016preVFP_M-55.png
2016preVFP,60.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-60.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,54.0,66.0,48.0,72.0,0.02,15,0.3,0,3,1588.9367212911181,51.81889172084527,59.78157110550667,0.041714140478667616,1.3456481808620329,0.049074032547010704,0.02242746968103388,0.0008179005424501784,15.930870311294608,31,0.5138990422998261,plots/sigFit/sigFit_2016preVFP_M-60.pdf;plots/sigFit/sigFit_2016preVFP_M-60.png
2016preVFP,65.0,/data6/Users/joonblee/SKOutput/Run2UL_v3_Run3_v13/NIsoMuon/2016preVFP/NIsoMuon_Zp_M-65.root,OS_POGMedium_tight_BJet_NIsoDimuon/Dilepton_Mass___OS_POGMedium_tight_BJet_NIsoDimuon,58.5,71.5,52.0,78.0,0.02,15,0.3,0,3,883.4225444354914,20.72393961121753,64.90032100886427,0.03069826478122195,1.4464650307226086,0.029565242239560363,0.02225330816496321,0.00045484988060862097,38.268809331113175,35,1.0933945523175193,plots/sigFit/sigFit_2016preVFP_M-65.pdf;plots/sigFit/sigFit_2016preVFP_M-65.png
